"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color","route_desc"
1337_3,66,"251","Finkenwerder > %SB Neugraben > Neckersstücken",3,"","",""
1338_3,66,"252","Rethehöft > %SB Wilhelmsburg",3,"","",""
1339_3,66,"254","%SB Veddel > Peutestraße/Hovestraße",3,"","",""
1340_3,66,"26","%UB Kellinghusenstraße > Bramfeld > %UB Farmsen > Bf. Rahlstedt",3,"","",""
1341_3,66,"260","%UB Wandsbek Markt > %UB Horner Rennbahn > Billbrook (Borsigstraße)",3,"","",""
1342_3,66,"261","%UB %SB Barmbek > %UB Horner Rennbahn > %UB %SB Berliner Tor",3,"","",""
1343_3,66,"262","%UB Wandsbek Markt > Hohenhorst > Rahlstedt (Sorenkoppel)",3,"","",""
1344_3,66,"27","%SB Wellingsbüttel > Bramfeld (Ost) > %UB Farmsen > Jenfeld > %UB Billstedt",3,"","",""
1345_3,66,"270","Ohlsdorfer Friedhof (Haupteingang) > Bramfelder See",3,"","",""
1346_3,66,"271","%SB Friedrichsberg > Rentenversicherung Nord",3,"","",""
1347_3,66,"275","Meiendorf (Künnekestraße) > %UB Berne > Bf. Rahlstedt",3,"","",""
1348_3,66,"276","%UB Ohlstedt > %SB Poppenbüttel > Sasel (Mellingburgredder)",3,"","",""
1349_3,66,"277","%UB %SB Barmbek > Bramfeld > Karlshöhe > %UB Berne",3,"","",""
1350_3,66,"283","Schnelsen > Eidelstedt > Bf. Altona > Elbe-Einkaufszentrum",3,"","",""
1351_3,66,"292","%UB Ochsenzoll > %SB Hamburg Airport > %UB Lattenkamp",3,"","",""
1353_3,66,"34","Lufthansa-Basis > Eppendorf > Hauptbahnhof > Kirchdorf (Süd)",3,"","",""
1354_3,66,"343","Fleestedt > Meckelfeld, Schulzentrum / Bf. Meckelfeld",3,"","",""
1355_3,66,"35","Hamburg Messe > Hauptbahnhof > Jenfeld > Sorenkoppel",3,"","",""
1356_3,66,"351","%SB Wilhelmsburg > Moorwerder",3,"","",""
1357_3,66,"354","Aurubis Werk Ost > %SB Veddel",3,"","",""
1358_3,66,"355","%SB Wilhelmsburg > Kirchdorf (Süd) > %SB Wilhelmsburg",3,"","",""
1359_3,66,"36","%SB Blankenese > Altona > Hauptbahnhof > Eilbek > Farmsen/Berne",3,"","",""
1360_3,66,"362","Bf. Rahlstedt > Großlohe > Stapelfeld",3,"","",""
1361_3,66,"37","Schenefelder Platz > Altona > Hauptbahnhof > Barmbek > Bramfeld",3,"","",""
1362_3,66,"375","%UB Volksdorf > Eulenkrugstraße > %UB Buchenkamp > %UB Volksdorf",3,"","",""
1365_3,66,"39","Teufelsbrück > %SB Hamburg Airport > %UB Wandsbek Markt",3,"","",""
1366_3,66,"391","%UB Hagenbecks Tierpark > %UB Niendorf Markt",3,"","",""
1367_3,66,"4","Eidelstedt > Langenfelde > Rathausmarkt > Brandstwiete",3,"","",""
1368_3,66,"443","Heimfeld > Eißendorf > Bf. Harburg > Sinstorf > Meckelfeld",3,"","",""
1369_3,66,"5","%AB Burgwedel > %UB Niendorf Markt > Hoheluft > Hauptbahnhof",3,"","",""
1371_3,66,"562","Bf. Rahlstedt > Eichwischen",3,"","",""
1372_3,66,"6","%UB Feldstraße/Speicherstadt > Hauptbahnhof > %UB Borgweg",3,"","",""
1373_3,66,"600","Bf. Altona > Eppendorf > %UB %SB Barmbek > %UB Wandsbek Markt > Horn",3,"","",""
1374_3,66,"603","Schnelsen > Eidelstedt > %UB Schlump > Bf. Dammtor > Rathausmarkt",3,"","",""
1375_3,66,"604","Niendorf > Lokstedt > %UB Hoheluftbrücke > Bf. Dammtor > Rathausmarkt",3,"","",""
1376_3,66,"605","Groß Borstel > Eppendorf > %UB Klosterstern > Bf. Dammtor > Rathausmarkt",3,"","",""
1377_3,66,"606","Rathausmarkt > %UB Burgstraße > %SB Hamburg Airport > %UB Langenhorn Markt",3,"","",""
1378_3,66,"607","St. Pauli > Barmbek > Poppenbüttel > Sasel > Volksdorf > %SB Poppenbüttel",3,"","",""
1379_3,66,"608","St. Pauli > Wandsbek > Rahlstedt > Großlohe",3,"","",""
1380_3,66,"611","Finkenwerder > Waltershof > AK Altona",3,"","",""
1381_3,66,"617","%UB %SB Barmbek > Bramfeld > %UB Berne > %UB Farmsen > %UB Berne",3,"","",""
1382_3,66,"618","%UB Wandsbek Markt > Jenfeld > Rahlstedt (Sorenkoppel)",3,"","",""
1388_3,66,"640","Rathausmarkt > Bf. Harburg",3,"","",""
1389_3,66,"641","Bf. Harburg > %SB Neugraben > Neckersstücken > %SB Neu Wulmstorf",3,"","",""
1390_3,66,"643","Bf. Harburg > Marmstorf > Bf. Harburg",3,"","",""
1391_3,66,"644","Bf. Harburg > Harburger Ring > Eißendorf > Bf. Harburg",3,"","",""
1393_3,66,"7","%UB %SB Barmbek > Fuhlsbüttler Straße > Steilshoop",3,"","",""
1394_3,66,"8","%UB Wandsbek Markt > Bramfeld > %SB Poppenbüttel",3,"","",""
1395_3,66,"9","%UB Wandsbek Markt > Tonndorf > Bf. Rahlstedt > Großlohe",3,"","",""
1396_3,66,"E62","%UB Wandsbek Markt > Rahlstedt (Sorenkoppel) > Bf. Rahlstedt",3,"","",""
1397_3,66,"E86","Teufelsbrück (Fähre) > Bf. Altona",3,"","",""
1591_3,66,"368","%SB Wellingsbüttel > %UB Berne > %UB Farmsen > Bf. Rahlstedt",3,"","",""
2126_3,66,"263","%UB Wandsbek Markt > Jenfeld > Willinghusen > Stapelfeld > Großlohe",3,"","",""
4421_3,66,"274","%UB %SB Ohlsdorf > %SB Hamburg Airport",3,"","",""
4541_3,66,"440","Neu Wulmstorf, Freibad > %SB Neu Wulmstorf",3,"","",""
4542_3,66,"540","%SB Neu Wulmstorf > Ringlinie > %SB Neu Wulmstorf (Freibad)",3,"","",""
4721_3,66,"642","Bf. Harburg > Heimfeld",3,"","",""
5031_3,66,"167","Jenfeld > Bf. Tonndorf > %UB Farmsen > %UB Berne",3,"","",""
5032_3,66,"213","%UB %SB Barmbek > %UB Wandsbek Markt > %UB Billstedt",3,"","",""
6361_3,66,"111","Bf. Altona > %UB %SB Landungsbrücken > HafenCity",3,"","",""
7701_3,66,"461","%UB Horner Rennbahn > Friedhof Öjendorf > %UB Horner Rennbahn",3,"","",""
8211_3,66,,"380(Shuttle)",3,"","",""
8301_3,66,"345","Sinstorfer Kirchweg > Marmstorf > Bf. Harburg",3,"","",""
8521_3,66,"875","Bf Rahlstedt > Ankunftszentrum Rahlstedt",3,"","",""
8551_3,66,"U3-SEV","Mundsburg > Barmbek > Wandsbek-Gartenstadt",3,"","",""
8576_3,66,"175","",3,"","",""
8577_3,66,"637","%SB Poppenbüttel > %SB Poppenbüttel",3,"","",""
1258_4,73,"61","Landungsbrücken > Neuhof",4,"","",""
1259_4,73,"62","Sandtorhöft > Landungsbrücken > Finkenwerder",4,"","",""
1260_4,73,"64","Finkenwerder > Teufelsbrück",4,"","",""
1261_4,73,"73","Landungsbrücken > Argentinienbrücke > Ernst-August-Schleuse",4,"","",""
1262_4,73,"75","Landungsbrücken > Steinwerder",4,"","",""
1263_4,73,"HBEL","Cranz > Neuenfelde > Blankenese",4,"","",""
3006_3,73,"SEV-S","Stade(elbe-city-jet-Tarif) - Landungsbrücken Brücke 3(elbe-city-jet-Tarif)",3,"","",""
5111_1,41,"S1","Wedel > Hauptbahnhof > Ohlsdorf > Hamburg Airport/Poppenbüttel",1,"","",""
5112_1,41,"S11","Blankenese > Altona > Dammtor > Hauptbahnhof > Barmbek > Poppenbüttel",1,"","",""
5113_1,41,"S2","Altona > Jungfernstieg > Hauptbahnhof > Bergedorf",1,"","",""
5114_1,41,"S21","Elbgaustraße/Altona > Dammtor > Hauptbahnhof > Bergedorf > Aumühle",1,"","",""
5115_1,41,"S31","Altona > Dammtor > Hauptbahnhof > Berliner Tor/Neugraben",1,"","",""
5116_1,41,"S3","Pinneberg > Altona > Jungfernstieg > Hauptbahnhof > Neugraben > Stade",1,"","",""
5206_4,73,"72","Ring:   Landungsbrücken  >  Elbphilharmonie  >   Landungsbrücken",4,"","",""
983_3,32,"412","Trapp.Schule - Bornhö.Schule",3,"","",""
6544_3,32,"361","Vierhusen - Bornhö.Adolfpl",3,"","",""
6555_3,32,"413","Schönbök.Torha - Bornhö.Schule",3,"","",""
7271_3,32,"410","Kiel > Bornhöved > Trappenkamp > Bad Segeberg",3,"","",""
7756_3,32,"411","Kiel > Bornhöved > Tensfeld > Bad Segeberg",3,"","",""
8378_3,32,"1754","Trappenkamp, ZOB / Schmalensee, Wendeplatz > Neumünster, ZOB/Bahnhof",3,"","",""
5164_3,35,"8720","Lübeck > Kastorf > Sandesneben > Trittau",3,"","",""
5165_3,35,"8721","Schönberg > Linau > Sandesneben",3,"","",""
5166_3,35,"8722","Berkenthin > Kastorf > Sandesneben",3,"","",""
5167_3,35,"8723","Klinkrade > Sirksfelde > Trittau",3,"","",""
5168_3,35,"8724","Siebenbäumen > Schönberg > Trittau",3,"","",""
5169_3,35,"8725","Mollhagen > Sandesneben  > Bargteheide",3,"","",""
5171_3,35,"8731","Siebenbäumen > Schiphorst > Sandesneben (> Hoisdorf)",3,"","",""
5172_3,35,"8740","Bad Oldesloe > Kastorf > Berkenthin > Ratzeburg",3,"","",""
5173_3,35,"8741","Kronsforde > Berkenthin (> Ratzeburg)",3,"","",""
5174_3,35,"8742","Koberg > Kastorf > Berkenthin > Ratzeburg",3,"","",""
5175_3,35,"8770","Kronsforde > Mölln",3,"","",""
5176_3,35,"8771","Krummesse > Berkenthin",3,"","",""
5177_3,35,"8772","Hollenbek > Ratzeburg",3,"","",""
5178_3,35,"8780","Sandesneben > Kronsforde  (>Lübeck)",3,"","",""
5179_3,35,"8781","Grinau > Bliestorf > Krummesse",3,"","",""
5652_3,35,"8726","Klinkrade > Sandesneben > Mollhagen > Bargteheide",3,"","",""
7741_3,35,"8118","Delingsdorf > Bargteheide",3,"","",""
7742_3,35,"8117","Bargfelder Rögen > Bargfeld-Stegen",3,"","",""
7743_3,35,"8116","Sattenfelde > Tremsbüttel > Bargteheide",3,"","",""
7744_3,35,"8112","%UB  Hoisbüttel  >  Ammersbek > Bargteheide",3,"","",""
7745_3,35,"8111","Bargfeld-Stegen > Jersbek > Bargteheide",3,"","",""
7746_3,35,"8115","Bargteheide > Lasbek > Bad Oldesloe",3,"","",""
7747_3,35,"8114","Bargfeld-Stegen > Elmenhorst > Bargteheide",3,"","",""
7748_3,35,"8113","Klein Hansdorf > Ammersbek > Bargteheide",3,"","",""
1466_1,76,"U1","Norderstedt Mitte > Hauptbahnhof Süd > Ohlstedt / Großhansdorf",1,"007FFF","",""
4521_1,76,"U2","Niendorf Nord > Hauptbahnhof Nord > Mümmelmannsberg",1,"FF0000","",""
4522_1,76,"U3","Barmbek > Schlump > Hauptbahnhof Süd > Wandsbek-Gartenstadt",1,"FFE500","",""
6401_1,76,"U4","Überseequartier > Jungfernstieg  > Billstedt",1,"00FF99","",""
4877_3,26,"8501","Bf. Ratzeburg > Demolierung  >  DRK > SWR",3,"","",""
4878_3,26,"8511","Mölln, ZOB > Waldstadt > Mölln, ZOB",3,"","",""
4879_3,26,,"8515-AST",3,"","",""
4880_3,26,"8513","Mölln, ZOB > Augustinum > Mölln, ZOB",3,"","",""
5121_3,26,"8512","Mölln, ZOB > Hansaviertel > Mölln, ZOB",3,"","",""
5122_3,26,,"8514-AST",3,"","",""
5123_3,26,"8712","Ratzeburger Schulen > Einhaus > Klein Disnack > Pogeez > Buchholz",3,"","",""
5124_3,26,"8713","Ratzeburger Schulen > Mechow > Bäk",3,"","",""
5125_3,26,"8730","Bf. Ratzeburg > Nusse > Sandesneben > Bf. Ahrensburg",3,"","",""
5126_3,26,"8732","Mölln, ZOB > Lankau > Nusse > Koberg > Sandesneben",3,"","",""
5127_3,26,"8733","Behlendorf > Nusse > Sandesneben",3,"","",""
5128_3,26,"8734","Ratzeburger Schulen > Nusse > Koberg",3,"","",""
5129_3,26,"8735","Mölln, Schulberg > Stecknitzweg > Lankau > Nusse",3,"","",""
5130_3,26,"8750","Bf. Ratzeburg > Vorstadt > Krankenhaus > Schmilau > Mölln, ZOB",3,"","",""
5131_3,26,"8751","Ratzeburger Schulen > Schmilau > Mölln, ZOB (> Schulberg)",3,"","",""
5132_3,26,"8752","Ratzeburg > Schmilau > Sterley, Schule",3,"","",""
5133_3,26,"8753","Mölln, Schulberg > Sterley, Schule > Seedorf",3,"","",""
5134_3,26,"8754","Mölln, ZOB > Mölln, Schulberg > Gudow > Kehrsen > Sterley, Schule",3,"","",""
5135_3,26,"8755","Mölln, Waidmannsplatz > Schulberg > Grambek",3,"","",""
5136_3,26,"8760","Mölln  >  Hammer  >  Nusse > Trittau",3,"","",""
5137_3,26,"8761","Mölln, Waidmannsplatz > Schulberg > Nusse > Behlendorf",3,"","",""
5138_3,26,"8762","Alt Mölln > Poggensee > Borstorf > Breitenfelde > Mölln, Schulberg",3,"","",""
5139_3,26,"8790","Bf. Ratzeburg > Mustin > Kittlitz (> Dargow) / Salem > Sterley > Seedorf",3,"","",""
5140_3,26,"8791","Ratzeburger Schulen  >Ziethen > Mustin",3,"","",""
5141_3,26,"8792","Ratzeburger Schulen > Salem > Kittlitz > Mustin",3,"","",""
5142_3,26,"8793","Ratzeburger Schulen > Sterley > Marienstedt > Seedorf",3,"","",""
5143_3,26,"8794","Ziethen > Mustin > Kittlitz > Salem > Sterley, Schule",3,"","",""
5236_3,26,"8700","Ratzeburg  >  Mölln  >  Hamburg-Wandsbek",3,"","",""
7516_3,276,"7751","Strandbad Ihlsee > ZOB > Kuckucksbarg",3,"","",""
7517_3,276,"7752","Friedhof Ihlwald > ZOB > Weichseldamm",3,"","",""
1671_2,41,"A1","Eidelstedt > Kaltenkirchen > Boostedt > Neumünster",2,"","",""
1672_2,41,"A2","Norderstedt Mitte > Ulzburg Süd > Kaltenkirchen",2,"","",""
1673_2,41,"A3","Elmshorn > Barmstedt > Ulzburg Süd",2,"","",""
1689_3,41,"SEV","",3,"","",""
7761_2,41,"RB11","Aumühle > Büchen ",2,"","",""
7762_2,41,"RB31","Hamburg Hbf > Harburg > Winsen > Lüneburg",2,"","",""
7763_2,41,"RB32","Lüneburg > Dahlenburg > Dannenberg",2,"","",""
7764_2,41,"RB38","Buchholz > Handeloh > Soltau",2,"","",""
7765_2,41,"RB41","Hamburg Hbf > Harburg > Buchholz > Tostedt > Bremen Hbf",2,"","",""
7766_2,41,"RB61","Itzehoe > Elmshorn > Hamburg Hbf",2,"","",""
7767_2,41,"RB71","%RE6 / %RE7 / %RE70 / %RB61 / %RB71 Gesamtverkehr Elmshorn > Hamburg",2,"","",""
7768_2,41,"RB81","%RE8 / %RE80 / %RB81 Gesamtverkehr Lübeck > Hamburg",2,"","",""
7769_2,41,"RB82","Neumünster > Bad Segeberg > Bad Oldesloe",2,"","",""
7770_2,41,"RE1","Hamburg Hbf > Büchen > Schwerin > Rostock",2,"","",""
7771_2,41,"RE3","Hamburg Hbf > Harburg > Lüneburg > Uelzen",2,"","",""
7772_2,41,"RE4","Hamburg Hbf > Buchholz > Bremen Hbf",2,"","",""
7773_2,41,"RE5","Hamburg Hbf > Harburg > Stade > Himmelpforten > Cuxhaven",2,"","",""
7774_2,41,"RE6","Westerland > Husum > Itzehoe > Elmshorn > Hamburg Altona",2,"","",""
7775_2,41,"RE7","Flensburg > Neumünster > Elmshorn > Hamburg Hbf",2,"","",""
7776_2,41,"RE70","Kiel > Neumünster > Elmshorn > Hamburg Hbf",2,"","",""
7777_2,41,"RE8","%RE8 / %RE80 / %RB81 Gesamtverkehr Lübeck > Hamburg",2,"","",""
7778_2,41,"RE80","%RE8 / %RE80 / %RB81 Gesamtverkehr Lübeck > Hamburg",2,"","",""
7779_2,41,"RE83","Lübeck Hbf > Ratzeburg > Büchen > Lüneburg",2,"","",""
8339_2,41,"RB33","Bremerhaven Hbf > Bremervörde > Kutenholz > Buxtehude",2,"","",""
1136_3,61,"120","%SB Rothenburgsort  >   %SB  Tiefstack  >  Zollenspieker  >  Altengamme",3,"","",""
1137_3,61,"124","%SB Rothenburgsort  >   %SB  Tiefstack  >  Kirchwerder  >  Bf. Bergedorf",3,"","",""
1138_3,61,"138","Lauenburg, ZOB  >  Hafenstraße  >  Bf. Lauenburg",3,"","",""
1147_3,61,"12","%UB Billstedt  >  %UB Mümmelmannsberg  >  Lohbrügge (Nord)  >  Bf. Bergedorf  >  %SB Allermöhe",3,"","",""
1148_3,61,"135","Bf. Bergedorf  >  Bethesda Krhs. Bergedorf  >  Bille-Bad  >  Bf. Bergedorf",3,"","",""
1149_3,61,"136","%SB  Reinbek  >  Klosterbergen  >  Max-Eichholz-Ring  >  Bf. Bergedorf",3,"","",""
1150_3,61,"137","Glinde  >  Industriegebiet Reinbek  >  Bf. Bergedorf",3,"","",""
1151_3,61,"139","Geesthacht, Freibad  >  Tesperhude  >  Grünhof  >  Geesthacht, ZOB",3,"","",""
1152_3,61,"169","Bf. Ahrensburg  >  Gewerbegebiet Nord  >  Bf. Ahrensburg",3,"","",""
1153_3,61,"193","Lademannbogen  >   %UB  Langenhorn Markt  >  Krohnstiegtunnel  >  %UB  Garstedt",3,"","",""
1154_3,61,"194","%AB Quickborn  >  Ellerau  >  Quickborn-Heide  >   %UB  %AB Norderstedt Mitte",3,"","",""
1155_3,61,"195","Bf. Pinneberg  >  Rellingen  >  %AB Schnelsen  >   %UB  Niendorf Nord  > Pommernweg",3,"","",""
1156_3,61,"196","Gewerbegebiet Ulzburg > %AB Henstedt-Ulzburg  >  Henstedt Kirche > Kisdorf",3,"","",""
1157_3,61,"220","Moorfleet  >  Schule Ochsenwerder",3,"","",""
1158_3,61,"221","%SB  Mittlerer Landweg  >  Billwerder Billdeich  >   %SB  Nettelnburg  >  Bf.Bergedorf",3,"","",""
1159_3,61,"222","Moorfleet  >  Ochsenwerder  >  Fünfhausen  >  Reitbrook  >  Bf. Bergedorf",3,"","",""
1160_3,61,"223","Ochsenwerder > Overwerder  >  Hower Hauptdeich  >  Kirchwerder Landweg  >  Bf. Bergedorf",3,"","",""
1161_3,61,"225","Bf. Bergedorf  >  Curslacker Heerweg  >  Kirchwerder Hausdeich  >  Krauel",3,"","",""
1162_3,61,"227","Bf. Bergedorf  >  Neuengamme  >  Kiebitzbrack  >  KZ-Gedenkstätte",3,"","",""
1163_3,61,"228","Bf. Bergedorf  >  Speckenweg  >  Altengamme",3,"","",""
1165_3,61,"232","Bf. Tonndorf > Jenfeld >  %UB  Billstedt  > %UB Mümmelmannsberg > Bf. Bergedorf",3,"","",""
1166_3,61,"233","%UB Steinfurther Allee > Havighorst > %UB Mümmelmannsberg",3,"","",""
1167_3,61,"234","Neu Allermöhe  >   %SB  Nettelnburg  >  Grandkoppel  >  Bf. Bergedorf",3,"","",""
1168_3,61,"235","%SB  Nettelnburg  >  Bf. Bergedorf > Wentorf > %SB Reinbek (> Reinbek, Schulzentrum)",3,"","",""
1169_3,61,"236","(Wentorf >) %SB Reinbek > Schönningstedt > Neuschönningstedt",3,"","",""
1170_3,61,"237","Willinghusen  >  Glinde  >  Industriegebiet Reinbek  >   %SB  Reinbek",3,"","",""
1171_3,61,"238","Lauenburg, ZOB  >  Moorring  >  Spitzort  >  Lauenburg, ZOB",3,"","",""
1173_3,61,"268","Bf. Ahrensburg  >   %UB  Ahrensburg Ost  >  Dänenweg  >  Bf. Ahrensburg",3,"","",""
1174_3,61,"269","Bf. Ahrensburg  >   %UB  Ahrensburg Ost  >  Ahrensburg, Am Kratt",3,"","",""
1175_3,61,"293","%UB  %AB Norderstedt Mitte  >  Harksheide  >  Rhen  >  %AB Henstedt-Ulzburg > Kisdorf",3,"","",""
1176_3,61,"294","Barmstedt, Rantzauer See  >  Hemdingen  >  %AB Quickborn",3,"","",""
1177_3,61,"31","Großer Burstah > Billstedt > Bf. Bergedorf > Geesthacht > Lauenburg, ZOB",3,"","",""
1178_3,61,"321","%SB Mittlerer Landweg  >  Allermöher Deich  > Reitbrook  > %SB  Nettelnburg",3,"","",""
1179_3,61,"322","Overwerder  >  Fünfhausen  >  Schule Kirchwerder",3,"","",""
1180_3,61,"323","Kirchwerder Fersenweg  >  Schule Kirchwerder  >  Schule Curslack",3,"","",""
1182_3,61,"328","Schule Kirchwerder > Schule Curslack  >  Curslacker Heerweg  >  Altengamme",3,"","",""
1183_3,61,"330","%UB  Billstedt  >  Billwerder Billdeich  >  %SB  Mittlerer Landweg",3,"","",""
1184_3,61,"332","%UB Mümmelmannsberg  >  Höperfeld  >  Bf. Bergedorf  >  Friedhof Bergedorf",3,"","",""
1188_3,61,"336","Reinbek, Krabbenkamp  >  Reinbeker Schulen  >  Glinder Schulen",3,"","",""
1189_3,61,"337","Barsbüttel  >  Willinghusen  >  Stellau  >  Stapelfeld  >  Brunsbek  >  Trittau",3,"","",""
1190_3,61,"338","Lauenburg, ZOB  >  Bf. Lauenburg  >  Unterstadt  >  Bf. Lauenburg",3,"","",""
1191_3,61,"339","Hansa-Viertel  >  Geesthacht, ZOB  >  Edmundsthal",3,"","",""
1194_3,61,"378","Glashütte / Duvenstedt  >  Tangstedt  >   %UB%AB Norderstedt Mitte",3,"","",""
1195_3,61,"393","%UB  Garstedt  >   %UB  %AB Norderstedt Mitte  >  Harksheide  >  Harkshörn (Nord)",3,"","",""
1196_3,61,"395","Bf. Pinneberg  >  Rellingen  >  Tangstedt",3,"","",""
1198_3,61,"422","Schule Ochsenwerder  >  Fünfhausen  >  Schule Ochsenwerder",3,"","",""
1199_3,61,"424","Kälbersteert  >  Krauel  >  Schule Kirchwerder  >  Schule Zollenspieker",3,"","",""
1200_3,61,"428","Schulverkehr Altengamme",3,"","",""
1202_3,61,"438","Lauenburg, ZOB  >  Spitzort  >  Moorring  >  Lauenburg, ZOB",3,"","",""
1203_3,61,"462","Bf. Rahlstedt  >  Gewerbepark Merkur  >  Gewerbegebiet Stapelfeld-Braak",3,"","",""
1207_3,61,"478","Kayhude  >  Wiemerskamp  >  Tangstedt, Schule  >  Norderstedter Schulen",3,"","",""
1208_3,61,"493","%UB  %AB Norderstedt Mitte  >  Glashütte, Markt",3,"","",""
1209_3,61,"494","%UB  %AB Norderstedt Mitte  >  Garstedt  > Friedrichsgabe  >  Harksheide",3,"","",""
